ï»¿"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","16,72,678","179.36","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","PUMA SECURITIES","SELL","4,77,682","178.58","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","PUMA SECURITIES","BUY","4,77,682","178.47","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","QE SECURITIES LLP","BUY","13,29,490","179.64","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","QE SECURITIES LLP","SELL","13,57,155","179.62","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","SHARE INDIA SECURITIES LIMITED","BUY","4,39,498","182.16","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","SHARE INDIA SECURITIES LIMITED","SELL","4,43,498","182.18","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED","SELL","7,98,490","177.39","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED","BUY","7,98,490","177.36","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","VINSUL MAKARDI LTD","BUY","4,46,867","178.74","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","VINSUL MAKARDI LTD","SELL","4,46,867","178.97","-"
"14-JUL-2026","GCSL","Gretex Corporate Services","MANSUKH SECURITIES & FINANCE LIMITED","BUY","92,118","510.58","-"
"14-JUL-2026","GCSL","Gretex Corporate Services","MANSUKH SECURITIES & FINANCE LIMITED","SELL","1,21,142","508.05","-"
"14-JUL-2026","HARIOMPIPE","Hariom Pipe Industries L","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","1,95,456","416.25","-"
"14-JUL-2026","HARIOMPIPE","Hariom Pipe Industries L","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","1,97,529","415.81","-"
